Posição,País,População,Área (km²),Densidade (habitantes por km²)
188,Níger,11.665.937,1.267.000,9
189,República do Congo,3.039.126,342.000,8
190,Rússia,143.420.309,17.075.200,8
191,Bolívia,8.857.870,1.098.580,8
192,Chade,9.826.419,1.284.000,7
193,República Centro-Africana,3.799.897,622.984,6
194,Cazaquistão,15.185.844,2.717.300,5
195,Gabão,1.389.201,267.667,5
196,Guiana,765.283,214.970,3
197,Canadá,32.805.041,9.984.670,3
198,Líbia,5.765.563,1.759.540,3
199,Mauritânia,3.086.859,1.030.700,2
200,Islândia,296.737,103.000,2
201,Botswana,1.640.115,600.370,2
202,Suriname,438.144,163.270,2
203,Austrália,20.090.437,7.686.850,2
204,Namíbia,2.030.692,825.418,2
205,Ilha do Natal,396,135,2
206,Guiana Francesa,195.506,91.000,2
207,Mongólia,3.321.447[2],1.564.116,"1,92"
208,Saara Ocidental,606.144[3],266.000,"1,90"
—,Pitcairn,46,47,"0,98"
—,Ilhas Malvinas,2.967,12.173,"0,24"
—,Svalbard e Jan Mayen,2.756,62.049,"0,04"
—,Gronelândia,56.375,2.166.086,"0,026"
—,Antártida,1.000,14.000.000,"0,000071"
